Architecture,Alpha,Learning Rate,Batch Size,Validation F1,Iterations Run,Final Loss
"(256, 128, 64)",0.0001,0.0005,128,0.878361194773251,38,0.1418362652375005
"(256, 128, 64)",0.0001,0.001,64,0.8758613669803738,30,0.07088764611150873
"(256, 128)",0.0001,0.001,64,0.8758271659225938,27,0.1517701821723008
"(384, 192, 96)",0.0005,0.0005,64,0.8757101663728907,27,0.10316439215206065
"(128, 64)",0.0001,0.001,64,0.8739216245557123,36,0.17662720593550021
"(128, 64)",1e-05,0.001,64,0.8738964279535153,36,0.17782024044256328
"(128, 64, 32)",0.0001,0.0005,128,0.8732767243400551,31,0.20196445903620153
"(128, 64, 32)",0.0005,0.001,64,0.873087485953552,30,0.1498188006790822
"(384, 192, 96)",0.0001,0.001,64,0.8729509111754961,29,0.039544881671648595
"(256, 128, 64)",0.0005,0.001,64,0.8727503910106478,30,0.07782437670252484
"(256, 128, 64)",1e-05,0.0005,64,0.8713364845673632,47,0.05562160556938481
"(512, 256, 128)",0.0001,0.0005,64,0.8705814884281518,37,0.028222976255507754
"(384, 192, 96)",0.0001,0.0003,128,0.8648599152795671,28,0.1788764254091004
"(64, 32)",0.0001,0.001,64,0.864159014100049,31,0.22109469268423662
"(128, 64, 32)",0.0001,0.001,64,0.8559116279214048,29,0.15766704089545353
"(128, 64, 32)",1e-05,0.001,64,0.8558509294044588,29,0.15214015489845997
